M_Z'[GeV] 	 weighted sigma [GeV^2] 	 weighted sigma error [GeV^2]
1	0.474775	0.0105583
101	0.476442	0.0043588
201	0.472813	0.0035985
301	0.478162	0.0033507
401	0.465539	0.00297999
501	0.459779	0.00286216
601	0.460617	0.00273406
701	0.449801	0.00263565
801	0.439136	0.00245092
901	0.433522	0.00227981
1001	0.436794	0.00235128
1101	0.439939	0.00232992
1201	0.43976	0.00231131
1301	0.452601	0.00232233
1401	0.458234	0.00233893
1501	0.452764	0.0023014
1601	0.45742	0.002344
1701	0.456813	0.00233926
1801	0.456225	0.00236393
1901	0.454685	0.00231893
2001	0.448329	0.00226272
2101	0.451752	0.0023407
2201	0.450237	0.002349
2301	0.446401	0.00227306
2401	0.447547	0.0022776
2501	0.44386	0.00218857
2601	0.444398	0.00222313
2701	0.436117	0.00216529
2801	0.436403	0.00215066
2901	0.439028	0.00214324
3001	0.429526	0.00214364
3101	0.429345	0.00209598
3201	0.428619	0.0021397
3301	0.421947	0.00207724
3401	0.420265	0.00207896
3501	0.41167	0.00206485
3601	0.414364	0.00206574
3701	0.405689	0.00202471
3801	0.397573	0.00200375
3901	0.397421	0.00194739
4001	0.391763	0.00194167
4101	0.389942	0.00191571
4201	0.382322	0.00187815
4301	0.377857	0.00187226
4401	0.373171	0.00187888
4501	0.366975	0.00178393
4601	0.362021	0.00185086
4701	0.352287	0.00178725
4801	0.352732	0.00180372
4901	0.347235	0.00177763
5001	0.340814	0.0016899
5101	0.332262	0.0017128
5201	0.329204	0.00173274
5301	0.321953	0.00167611
5401	0.318857	0.00172714
5501	0.308764	0.00169561
5601	0.305107	0.00163345
5701	0.298078	0.00165846
5801	0.291547	0.00165396
5901	0.286281	0.00165892
6001	0.282018	0.00164729
6101	0.276964	0.00169541
6201	0.268815	0.00162375
6301	0.267025	0.00161644
6401	0.258056	0.00158253
6501	0.255509	0.00164938
6601	0.243713	0.0016272
6701	0.237943	0.00157736
6801	0.231404	0.0015659
6901	0.228256	0.00160892
7001	0.221483	0.0016217
7101	0.209879	0.00152578
7201	0.208246	0.00154792
7301	0.197682	0.00147701
7401	0.187705	0.00148265
7501	0.18315	0.00145621
7601	0.177791	0.00138335
7701	0.169808	0.00135971
7801	0.163308	0.00135787
7901	0.154575	0.00125412
8000	0.142323	0.0011771
8101	0.137623	0.00118074
8201	0.131733	0.00120369
8301	0.120761	0.00120983
8401	0.128014	0.00263909
8501	0.104245	0.00184086
8601	0.0951238	0.00931579
8701	0.0851238	0.00901579
8801	0	0
8901	0	0
9001	0	0
9101	0	0
9201	0	0
9301	0	0
9401	0	0
9501	0	0
9601	0	0
9701	0	0
9801	0	0
9901	0	0
10001	0	0
